Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
44152572,10/27/2019 12:11:48 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,10306,44 GARIBALDI AVENUE,GARIBALDI AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,,STATEN ISLAND,GARIBALDI AVENUE,,In Progress,,,,02 STATEN ISLAND,5040870060,STATEN ISLAND,956094,144088,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.562119391371965,-74.10133371113466,"(40.562119391371965, -74.10133371113466)"
44162815,10/27/2019 02:03:06 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,33 MICHAEL LOOP,MICHAEL LOOP,BEND,BEND,BEND,BEND,,STATEN ISLAND,MICHAEL LOOP,,In Progress,,,,02 STATEN ISLAND,5008360203,STATEN ISLAND,956940,160829,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60807272548309,-74.09835660319301,"(40.60807272548309, -74.09835660319301)"
44179069,10/29/2019 08:07:13 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Monkey,Residence,11422,13 1 STREET,1 STREET,MEYER AVENUE,3 STREET,MEYER AVENUE,3 STREET,,ROSEDALE,1 STREET,,In Progress,,,,13 QUEENS,4139210044,QUEENS,1055959,171095,ONLINE,Unspecified,QUEENS,,,,,,,,40.63600256688124,-73.74163257563917,"(40.63600256688124, -73.74163257563917)"
44201040,11/01/2019 09:06:09 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,1-2 Family Dwelling,11209,50 79 STREET,79 STREET,79 STREET,80 STREET,79 STREET,80 STREET,,BROOKLYN,79 STREET,,In Progress,,,,10 BROOKLYN,3059760010,BROOKLYN,974029,168975,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63046798842444,-74.03682314205544,"(40.63046798842444, -74.03682314205544)"
44203034,11/01/2019 08:02:39 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,33 MICHAEL LOOP,MICHAEL LOOP,BEND,BEND,BEND,BEND,,STATEN ISLAND,MICHAEL LOOP,,In Progress,,,,02 STATEN ISLAND,5008360203,STATEN ISLAND,956940,160829,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60807272548309,-74.09835660319301,"(40.60807272548309, -74.09835660319301)"
44216049,11/02/2019 10:46:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Residence,11201,40 WYCKOFF STREET,WYCKOFF STREET,COURT STREET,SMITH STREET,COURT STREET,SMITH STREET,,BROOKLYN,WYCKOFF STREET,,In Progress,,,,02 BROOKLYN,3003900026,BROOKLYN,986420,189411,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.686565945331516,-73.99217557580467,"(40.686565945331516, -73.99217557580467)"
39606313,06/30/2018 01:29:37 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11209,,,86 STREET,4 AVENUE,86 STREET,4 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
41988746,03/18/2019 02:51:27 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
39587642,06/28/2018 06:57:54 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11106,,,31 STREET,36 AVENUE,31 STREET,36 AVENUE,INTERSECTION,ASTORIA,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
40264721,09/13/2018 06:30:55 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
43773103,09/13/2019 01:15:43 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Monkey,Residence,11361,39-47 223 STREET,223 STREET,MIA DRIVE,41 AVENUE,MIA DRIVE,41 AVENUE,,BAYSIDE,223 STREET,,In Progress,,,,11 QUEENS,4063430150,QUEENS,1050595,218399,ONLINE,Unspecified,QUEENS,,,,,,,,40.7658822664326,-73.7604929568591,"(40.7658822664326, -73.7604929568591)"
40064622,08/21/2018 02:28:21 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40523058,10/11/2018 05:07:04 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40344930,09/21/2018 09:34:59 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10455,,,EAST  152 STREET,BERGEN AVENUE,EAST  152 STREET,BERGEN AVENUE,INTERSECTION,BRONX,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,09/24/2018 07:49:09 PM,01 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
40989106,11/20/2018 11:09:39 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11220,,,63 STREET,8 AVENUE,63 STREET,8 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40491516,10/08/2018 04:01:45 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42023082,03/22/2019 09:47:42 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11210,,,EAST   31 STREET,AVENUE K,EAST   31 STREET,AVENUE K,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,03/22/2019 07:36:07 PM,18 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40067458,08/21/2018 04:21:35 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
41121595,12/06/2018 10:07:14 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11361,,,45 DRIVE,211 STREET,45 DRIVE,211 STREET,INTERSECTION,BAYSIDE,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,12/06/2018 09:31:16 PM,11 QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,,,
39970656,08/09/2018 11:01:45 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40052425,08/19/2018 03:14:32 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40066562,08/21/2018 05:31:04 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
39608234,06/30/2018 02:46:21 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11209,,,86 STREET,4 AVENUE,86 STREET,4 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42041579,03/24/2019 10:44:03 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10003,,,EAST   14 STREET,4 AVENUE,EAST   14 STREET,4 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39771282,07/18/2018 03:55:47 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40732136,11/02/2018 03:25:06 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
41501522,01/23/2019 01:01:28 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11361,,,BELL BOULEVARD,38 AVENUE,BELL BOULEVARD,38 AVENUE,INTERSECTION,BAYSIDE,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,11 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
